drep,vote,amount
drep1y6369ljqgayg7vwdvumqqq4dnzstxtu6e9dgq62qzdh42rddymy,yes,74564827901
drep1ypft5p9fdetpr2zy7zww9j3nku6px06cwkstzqh75sk5vn6t4pa,yes,16272752103764
drep1sa9nnjjy4vkh64ln74zd4yj6dc3njv0sepz9nf4g97ctq8qfjpa,no,3256235705383
drep14fs7kawaj8lk03e7595tkw04l5w7q7fypr9cms45p98vs6grces,yes,19998754282688
drep1n4rhu5hvk4d6fv2h6dqc7wvx48mtgc3j7sudzx3nfqpz5cza8a5,no,234630036480
drep176sktgzd9ggczd9jtqs9xn2ql5ygddayt3c423ckh6kp7rvdm2x,yes,4963577173
drep13uw46mq3265hzpq865j838ht7sh0yzaawhkgtr2nk7lu79xzyrg,no,2474729956635
drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,yes,10996638631800
drep_script1tjulmrtfl2lu4x9p86r4dj9xw4tmpzec7v826cukmhzfzxns7fy,yes,687919576884
drep1025p6hdcn0rf9lqdy39fnsjcw6qg2p4hhwmx65xc63352p5r0gn,abstain,8106716866
drep1quc69pf6vfe3jpuwzx4lrgznetn6a83lcpwxdevcfftf7pndqgm,abstain,132103912712
drep_script1g2d3y3skgr806wj2ryhhc5ca3akx6vmppde87jq7kgknj5wf0ec,yes,231635818463118
drep1sh842zeupjceky6qyxculqdss67lcy97mx7aqzl9e3k3sr6xlga,no,723110182396
drep1yzzd7prdl628lwac455e0sc5wtw2fldg3f2th6jg7r5c7pvf3mk,no,30573965392412
drep1u3dsnuap8wlwzxy3us7hgvuw4e4y8qsqw2fn9e9wrzgxukkx9rh,yes,32874804238
drep13d6sxkyz6st9h65qqrzd8ukpywhr8swe9f6357qntgjqye0gttd,yes,233552508755954
drep1h92sg90589pmhaexdfxz04w00lsaldpllvjf5wwa2d5j5pcehve,no,1815342504114
drep15dhxmqgz80u27n92lwmscgu38ddygvtvhwm7gzx50yxevakp3qh,yes,468133914022
drep1k3wde55ta4tzgjwzs3atre39nv0wlpz35manpgjfca7xwu7rnw2,no,582194573893
drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,yes,461965338093256
drep1lwcy7r8qjsml2an3njxyaqk6pkmevn6zh6xqc0ntgzvzwds0cgt,yes,1594661933105
drep1q8l8jsn35qkpnasrg5zad52xjf34dhmkxcdn6w88y59nzyyhrdt,yes,1085142515487
drep14t63upry4za808ashszv0ntcc8wu3h8zfyrtwgjzrnqnyxp3dlv,yes,45004419604
drep1m2k6dp66gr83chkff2fr6y76wgta5xx8umstphsrrsw9ylhcfha,yes,579884294592
drep1t8hsjjvqh5lxp9p0ejsdh20wl2a6fc83u0l0asug8yhr6lgc03l,yes,30432908321
drep1k2ugn98h8ly7dzzylpyrfmkqrl0pyry7zhlzjwn7uw0pulyfzk9,no,12237813778631
drep17r90fhh5r7vcx2dxsyj06dtfc5jph8l9k7f0zdqf7z002zj2ckn,yes,39293567254655
drep1l8ztrwklf9jzwq2n6fjqfhjxhfgj58x9cxd6wvnnvp37z8t3utj,yes,515569237186
drep1xvpxg2k32fyl6eu6pr64djlrea72ejsqgf8cz4kw8wg0w56kp2p,no,400128759805
drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,yes,29422938961913
drep1hvlx2cdu7ql8238dwhrjrncm43q3sl5hlmcmp24p0rcnzcwzcyd,yes,45460164440671
drep18yzmp7ftjummc3fm9cc375agrkrrrp0jlsx4p0ztpsvasqwkyvd,no,86354192851
drep1u632p38chcackajaw84rhsx7vpsxz4fcetee2tct8pyrgeftpr7,no,3593330047022
drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,yes,129521868815
drep1hz77guw64qrxzg768lmfee8xgpvxvtfacy5ujnm44gr7zrfzy8l,no,58201196185
drep109rd2sz08kvw089d4hw7zy2ygjs575rwh429ntn37fx5v3pwhtl,no,33468360116632
drep1m8mnpykcjfyax5mcs42whu3dt347u8aq43x45ucs6dv3ztw0lez,yes,335685832720354
drep1axxpl3m4xplxes60rv7cn424xgf5mrz6mh4acamjdctcsjjn8tg,yes,22112866898230
drep1ha70n565q7nx7f6y78dvsa4m90h9u2ahup9kccrrsng922zdag3,yes,4369769055771
drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,no,98029505657611
drep1wgxemjt24eg22kpfpvdgy9hr5gnavx0ccglkvzd2rv86kfgu3y5,no,421615492058
drep16yrdjg5my5mnfscnzfekjuawz609sqqdu8w7c4jth26yqkxf5l4,yes,255612737577
drep1u3rxedper54sd8jfmkudltyhjh7x4y2c0hvj6e3j7j26xqmslxl,no,628545275057
drep123yjzps6k4h0uqv0athzm2tayy0fp5j9zp8f8c246d2x2gx0u6f,yes,23212121255
drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,yes,41644508893047
drep1hhdxjp3tx739uket5rrqfa0k6mmt9wpp3vtqjsaqu3zuuwvjw3w,no,93113921054
drep1000002hneyj7jl9y95m0zxdsg6dp9n9y59lvlm7xjqp4qh2jx7h,yes,61343155891493
drep120kypfarsk0z5534fu8mtm6sl7gyqc3cz6udcfm4a3ty759ld55,yes,1294540198165
drep1usknc6r4asjdcm99anyetfkxgcthtgz44cr9cdzgr5ydsf46axf,yes,47953600320249
drep1ng2exqa5zjz8wfd87wd7kkmlmurx2ef79ddlag7lww8hvtnjzuq,yes,536110216359
drep1678t8j9ufhasrflkjx6xlv2k8sy4998v5uu2vcfdh7ha2uran5p,abstain,1411697605086
drep1vzp4tgzwp35r7u9yv2ms58nn7rr3mqpcrsku3qc23mujvv9c8el,no,1202064144643
drep1gsnseus5um6kckgtyx3pvav23wv9ss2pzyndawtj3uqsw5dr4q5,abstain,114081976475
drep1d65maj046auj5ccj9mfwmy4xk6gvkmvpz534unz4jclnqgx6qvu,abstain,804083023834
drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,yes,187783809371222
drep1qxykkykelgunkphfh4krkwevdk55qky0m8zwe5qnr7gfwum9g8d,yes,518870312751
drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,yes,126196358872096
drep1j2q76kng7lmgm60pw7tq5ucesuw59gdkx8lt5z3h50puqnqcxwv,no,0
drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,yes,25720946175179
drep1lvph5f02spd6zjn9ncchwntjcsgexkpqdd43k76q8f232e0dcru,no,0
drep185r8rr6j9evjs984vnr7haf5cn3qw5w220usk23cxffvwuutaz3,yes,243139566996
drep1mh7c7745xpu8dztd775ggcrxw4usnz9mwytaygnsk4ex2kf30lt,no,657392212067
drep1nvuyn6ldjenkcnjd005qt76ygmxuv5x2l2ram7eud4uywtrhp7k,yes,660104921224
drep136083nwmqj39uhe9huudjc43fu9njtv4j8p3zh97f7vvchlmwnj,abstain,357772908
drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f,abstain,279648299004
drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,yes,6083385046827
drep109sf5yy88t6lqrgtfw2uejek9z7kqqupzwckexp4e25a6j28a5v,yes,88325440537042
drep15td6lshfws8kezwkts6ysjacashk9y6ldl2v50klr3v8urfg02k,yes,256936394298
drep19qg34ctllr7lh48nnj4akfc978qzqzuwzkgsdu6r3zc42e5y854,no,5666388102376
drep1nm3mpnnvtxvlmqt7lpnskm0clhtm7ngg4pm7qklv42j5qcvhhnw,yes,1071535892880
