drep,vote,amount
drep1k2ugn98h8ly7dzzylpyrfmkqrl0pyry7zhlzjwn7uw0pulyfzk9,yes,16508887519111
drep1h92sg90589pmhaexdfxz04w00lsaldpllvjf5wwa2d5j5pcehve,abstain,1732584950846
drep1w34scjn42tdn5n30pflygwc4hk8htlwcpd9ldkyk4ftvu2dvfw8,yes,59377001146
drep1tu9z8p4hmhcylj6mg2tk7ah0xrhg94k74c57ppu608az2n037wa,yes,5365917791976
drep104534qle8pq34satg3xxr2vp67v9630wc67qfq0ly0vycfrx5l3,yes,15908180337085
drep1mt225l5509lgkmkfazaekyhxhr58xcxfnuu8wmq4k2p6ghe8rtz,yes,50371509146
drep1vhzjtaezsrc3f3llde8nyt9gcx6s3akmrl5hxg7xaqs9c379mvw,yes,167199079921
drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,yes,130360561239763
drep1vsstlzdw82j5krwjv24k4p6hjhlpf883fsxcky2z72gg5krftpn,yes,13744202135
drep1zpw2pt6ykazv4tcv7yax556my94hjny2vgcsuyws98ur5828t7c,yes,116103746792
drep1ccxqz9g9udymkt23vch2akfukwupx0e9mwv7rw9de4prczd7hhn,yes,22372607948444
drep1ztnap45v9hyhpxlnpmn6avxv0vvevx7zfhztdprux875vntmd0r,yes,47373665146
drep1m7rzzk4ftvd02w872genpy6kzeyplhdyjeaw9kq3yhmzxtwnfu0,no,20011115721828
drep1cm6mupj0lszffgnfe3t0we7r7c9kwc6lxd4ad7dstf6gggtdqc3,yes,11097311173649
drep1kyppjlhz4lawh4g0ewx2d8a5l20t4yclfnppnuvdkmt7vccg836,yes,182274463059838
drep17c2cvvx6d2xxwwwea6d9w4g8jnzprnxs3ag8mawf45kvvswfhgj,yes,1425553923939
drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f,yes,278963058186
drep1nz5796lkhg02luejzc3aec3pdv0tz0s0tg94npxxck7qwayutfs,yes,10294067770258
drep168a76y8ehsuszd2l26m6ndj5jv6v526ysudv70sdp0nfj54v7pt,yes,1527286560369
drep1wcq08grlh3hr5ehrj3gjpww666c07c4f2ml0kjh6458v5kzjfcw,yes,749584307835
drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,yes,3263608949079
drep1jemjs67pzdu2f752qxrkcl8hl20yqkmpre46835nngtjxn7xqq6,yes,2504894182
drep1g204cphavzgc4fkz0wmwywsfqvf2wxvvc6ayt9euj220xy7zhfp,yes,450700873889
