drep,vote,amount
drep1q2e4m6f22mgaw2xnxkdhwpspt47ptqvz3yna0n56l5a9u3ma8jp,yes,14257143
drep1a8ydjrvsp4m6zhykan6pmvsz4lerxf2ynacwlvyus3rc5c2m46x,yes,38184222167
drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,no,40651952856
drep1794apaznpyzr2ru4px52804nc90rtjvhqg6p4gvnnjemve07skk,yes,113889961241
drep1gr4upcx238vns9gmlvc22sr6c2kse35hxww5n2pw86gcw6a39dg,yes,1108272783553
drep1hz3af6wgav29ue9e8tdlgr2kd4gpfned63rupkt9z9h7zueerle,yes,3288394233295
drep1678t8j9ufhasrflkjx6xlv2k8sy4998v5uu2vcfdh7ha2uran5p,abstain,1411171079295
drep120kypfarsk0z5534fu8mtm6sl7gyqc3cz6udcfm4a3ty759ld55,yes,1328121869288
drep1hhdxjp3tx739uket5rrqfa0k6mmt9wpp3vtqjsaqu3zuuwvjw3w,no,89525832717
drep1k5zdh24kmcdfnnl50yng9t7n33kq4mfzdetrh3ps2vx07famecw,yes,5347089252628
drep104534qle8pq34satg3xxr2vp67v9630wc67qfq0ly0vycfrx5l3,abstain,16206831419823
drep14qm80e579gf629ekr4snl7jrvxgr0qrqmg4aqgnggcmy7pgpysf,no,6088428776994
drep1c6d0mus0edhnugp9z9fd68f7f87w0ft07367duh48ga9sy2a9am,no,291004424587
drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,no,189823734476
drep1wfwvaduzxyg75a67m5k0u4m746ymzefqs4nsxz2mrv5dwm22ntt,yes,29332140288662
drep13uw46mq3265hzpq865j838ht7sh0yzaawhkgtr2nk7lu79xzyrg,yes,2478011600061
drep1ju2udpph53uuaut4sy6ss46rs9595yeaqnxjsvsms5htkyup4cn,yes,450000717743
drep1yqmr09530yuehxdz2wca5setx03ps5tnxxrvzlgwmk3wswugxwh,no,206782479611
drep14fs7kawaj8lk03e7595tkw04l5w7q7fypr9cms45p98vs6grces,yes,19168163714920
drep19jtzh8h0gs6dcz9mcyyqlwunwhtregu9uwvntcmfdxxlyrgelza,yes,522605234871
drep1a7vhjmrqr6682u0ljxws9tl8gun6sx7laq0qsjqmmurt6nzwctt,yes,3495679339434
drep1h6l2ea5sq7u62v0a4sf3ru4zu7knvwm6px4twp2hvz2azu54xhp,no,254132757775
drep1uygrv5qxyalmdgu0xdjh8ru6juae6426y6048fugyf97g4srzkn,yes,47598263642416
drep1w34scjn42tdn5n30pflygwc4hk8htlwcpd9ldkyk4ftvu2dvfw8,yes,59575050624
drep1wcmra3ynxgc420ksvglg9pcctn0lfgcltc0r0c3xej3gcrfc2w5,no,273997551016
drep1lvph5f02spd6zjn9ncchwntjcsgexkpqdd43k76q8f232e0dcru,no,37600289428
drep1trhk3060j9qdden786jfu3nw8ztwqqy5whruewvxykrnveg78um,yes,315481171439
drep13tupcm5xg34kz7hq7cy7f67p2nszl6l0em2fjd4dp5kkgvyg6uw,no,631333904599
drep1xz3vmptcqz60srhcdxgr5uxrwm948zul8e0g6wewdhm3w3u5cln,yes,5406183115549
drep17vw9clp7lnv2qjqtnx68vm6yjfslpgewprqa4kxg7rmkznaryj5,yes,2574691693303
drep1qxykkykelgunkphfh4krkwevdk55qky0m8zwe5qnr7gfwum9g8d,yes,518735329257
drep1jde8rt3uh9yw23wkyf8zr8874u2g0qaue4d860fwdx7gzlktygq,no,9142080096315
drep1tu9z8p4hmhcylj6mg2tk7ah0xrhg94k74c57ppu608az2n037wa,yes,5394349019758
drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,yes,3582284857384
drep13hw8d4m6pc9wfj2xmpr3xjhvl4wyhkvkqwq6qxn9atw9ssqheer,no,42920491133599
drep1e6cuc37dxye87epzzmcfqs6t32s6ev924jp6aga77jmmvf9va2t,yes,412986525692
