drep,vote,amount
drep176sktgzd9ggczd9jtqs9xn2ql5ygddayt3c423ckh6kp7rvdm2x,yes,5085921135
drep12ukt4ctzmtf6l5rj76cddgf3dvuy0lfz7uky08jfvgr9ugaapz4,yes,51034592481
drep1axxpl3m4xplxes60rv7cn424xgf5mrz6mh4acamjdctcsjjn8tg,yes,22160906911722
drep10sac7436zwwrvec4quflqp802wzgl3a8uzq5rx83xvwe223cvnu,no,2584075013050
drep13ws367l38k0m5xuxt5agzjmgaz8r6gqjcp03z6lct8s3xayyplj,no,40651952856
drep1jjx7efq77a0gtx49h9vvtraq9prsp45u5q3qrah6vw7p5t2sx66,yes,3314718169503
drep1km69g7ksf8t5g0h9d9tkrcd2tezxelx0wtr76rv2mrkl5nzd6v3,yes,96741090904815
drep1trhk3060j9qdden786jfu3nw8ztwqqy5whruewvxykrnveg78um,yes,315481171439
drep14t63upry4za808ashszv0ntcc8wu3h8zfyrtwgjzrnqnyxp3dlv,yes,44990928536
drep15tv59ngt58zm9ps5dtg4v7a4mqztf57l8slkzfxdw2kfk8qdtdz,yes,890486198828
drep13uw46mq3265hzpq865j838ht7sh0yzaawhkgtr2nk7lu79xzyrg,yes,2478011600061
drep1lhkqu7uhq9532xr5558q7gh5rl54m4ezav8p5yfkgz27yrx735a,yes,114657125868711
drep1hhdxjp3tx739uket5rrqfa0k6mmt9wpp3vtqjsaqu3zuuwvjw3w,yes,89525832717
drep17h6rggykfz37srj63lkuah5rg9ed8tzwmwd2nqywl6u3yqvsasg,yes,33103667862890
drep1jnmmkfwpta0yuwjchw0gu6csh75vy62088egy9n67d0zc7sn83m,yes,438156743860476
drep1c604nf9akj2u2gqsqq8vqhw7jz6j0usvrr4ny68weqm95h8v2vk,yes,3582284857384
drep1k5unlp7snmuzkx3z7wwr0xtgc33sesuuf2aaxl0ramcazvulefk,yes,796777708566
drep13yw08r2vm4fek08uz0qvz6le379fsdalt3tmwkntxqlgjcdfekw,no,183272933439
drep1um8gsqvy3fc08nknz77ttwppgvu73x5lmcvqa8vsjxdz5snfcx0,yes,3360677811449
drep1e6cuc37dxye87epzzmcfqs6t32s6ev924jp6aga77jmmvf9va2t,yes,412986525692
drep1hz77guw64qrxzg768lmfee8xgpvxvtfacy5ujnm44gr7zrfzy8l,no,58183296263
drep1zzuasedw4v7ctfdfvrsmr6surqxh78fuakxvdnztu0y4xnc8cmk,yes,3815634237725
drep12wnsskr7qmr9jaqdampwsqyexmz94supx88603g0r28ssnfrk4f,yes,279558394695
drep12yyrn4qyat4r32zsw6u3dg6rl65j7q3ln3tdwadptgg9cy5clqj,yes,189823734476
drep1efj8hmm06p550extkumgsc9rs552dvlyrds20fvlsjdvy4wl890,yes,3628242277142
drep1xgzlpyy3pvywm5wvhkvyz9cpga5wylme6wdu6l9vn5g6cp38jdj,yes,36807075646548
drep1smycdt70dg58adcxm7t9gyhznay3hkc48hznr5sss6dr72duwlz,yes,7291948053421
drep1m05yd7dq6p4a3n66nyly64r3y26k5flhkq3n3u7078mf70fptkj,yes,988978172720
drep17wflxwksrg9jg8q9xpdlm0jcaenqrgldq06de8ql2xzvzdxskhu,yes,16900055895
drep1j2q76kng7lmgm60pw7tq5ucesuw59gdkx8lt5z3h50puqnqcxwv,yes,0
drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,yes,126336535380495
drep1rz95fefgxufcjamls4x8a6vnqjd72k624n9sq6fsfvgayqd6r5x,yes,1748169354597
drep19jtzh8h0gs6dcz9mcyyqlwunwhtregu9uwvntcmfdxxlyrgelza,yes,522605234871
drep1l46t0lcnllnlhya4e2zjvpwvdr07nfd2my3yuaa2azrkj2cw4jl,yes,324529800913
drep1asj4l0kevmyqegyezfrjky0jdjdkee0sruxxu2cj5c0uvmucfcj,yes,505558736494
drep1yn6hlm88yyacdm9lej0n2kp4u9y2m55mnha82ugn46afkspmyfv,yes,2333785464344
drep18yzmp7ftjummc3fm9cc375agrkrrrp0jlsx4p0ztpsvasqwkyvd,no,86335983749
