id,tx_id,index,prev_gov_action_proposal,deposit,return_address,expiration,voting_anchor_id,type,description,param_proposal,ratified_epoch,enacted_epoch,dropped_epoch,expired_epoch
64,112439116,0,,100000000000,5473879,580,4834,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""keyHash"": ""28e35801c889b56600b218e29080235e3172f6da9fa06b0d6e0cb049""}}, 5000000000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,,,581,580
65,112509795,0,8,100000000000,5321718,581,5001,NewConstitution,"{""tag"": ""NewConstitution"", ""contents"": [{""txId"": ""8c653ee5c9800e6d31e79b5a7f7d4400c81d44717ad4db633dc18d4c07e4a4fd"", ""govActionIx"": 0}, {""anchor"": {""url"": ""ipfs://bafkreiat3w662d6jnsuz2kpra2h5ve4xxij4jkl7kylf7jk6gw43q5b5ny"", ""dataHash"": ""170379f4c41a1833743837770e5bdb034c089a8edc835174e73a9c5b692676cc""}, ""script"": ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""}]}",,,,582,581
23,111783541,0,,100000000000,5443227,577,2597,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 45217000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
61,111864094,0,,100000000000,5443227,577,2657,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 99600000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
26,111863657,2,,100000000000,5443227,577,2622,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 1300000000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
28,111863657,4,,100000000000,5443227,577,2624,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 220914000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
29,111863657,5,,100000000000,5443227,577,2625,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 220914000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
30,111863657,6,,100000000000,5443227,577,2626,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 130903000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
31,111863657,7,,100000000000,5443227,577,2627,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 1161000000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
32,111863657,8,,100000000000,5443227,577,2628,TreasuryWithdrawals,"{""tag"": ""TreasuryWithdrawals"", ""contents"": [[[{""network"": ""Mainnet"", ""credential"": {""scriptHash"": ""8583857e4a12ffe1e6f641a1785a0f2f036c565cfbe6ff9db8e5a469""}}, 220914000000]], ""fa24fb305126805cf2164c161d852a0e7330cf988f1fe558cf7d4a64""]}",,575,576,,
