"epoch","tx","tx-idx","committee-yes","committee-excl-abstain","DRep-yes","DRep-excl-abstain","SPO-yes","SPO-active","SPO-abstain","outcome"
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",20,0,0,50894636838892,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",21,0,0,1967607120,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",22,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",23,0,0,83416886760239,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",24,0,0,61940143894442,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",25,0,0,50947818234725,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",26,0,0,14231285772119,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",27,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",28,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",29,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",30,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",31,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",32,0,0,117178436194883,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",33,0,0,685355368685,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",34,0,0,685355368685,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",35,0,0,0,5386214329193010,0,21932035208025158,8752520120136800,""
571,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",36,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313",0,0,0,50260495258920,5386214329193010,0,21932035208025158,8752520120136800,""
571,"9d213a57684d7ddf6f3350c80d042639ecbed5ccccc4a05bf54959a086593e7b",0,0,0,1361385202818112,5297749149519696,50931092047066,21932035208025158,8752520120136800,""
571,"495bd3cd44ea6bc0b4c2dbb1e4cdc7e214874c2c07490a4e2476a627ef911280",0,0,0,337502690212350,5378303289511536,0,21932035208025158,8752520120136800,""
572,"3cf29192a0ee1a77985054072edcdb566ac14707730637c4635d8fb6813cb4c9",0,0,0,2396009252931578,5318550693318470,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",0,0,0,2589290377203632,5324946762987148,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",1,0,0,2548386005616502,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",2,0,0,2229489849699216,5309544715393109,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",3,0,0,1508123583771567,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",4,0,0,1805800490079362,5302006671746177,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",5,0,0,1505846579533593,5309544715393109,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",6,0,0,1514117291334864,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",7,0,0,2164943553712957,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",8,0,0,1571653049955746,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",9,0,0,1417848406720724,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",10,0,0,950975146503846,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",11,0,0,2034832953480082,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",12,0,0,1712930217069491,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",13,0,0,1708644918270994,5304498028163754,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",14,0,0,1878046920645224,5328632915846327,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",15,0,0,1987840732207430,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",16,0,0,1302303980541964,5328786409075130,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",17,0,0,1288840691062084,5333893600109199,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",18,0,0,1356893862174209,5309940665618999,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",19,0,0,887362399687993,5306476315394138,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",20,0,0,1695230515188148,5290978737419088,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",21,0,0,1733915975898475,5326355556462267,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",22,0,0,1377410529233389,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",23,0,0,2404464214670442,5331749994744314,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",24,0,0,1516078507065287,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",25,0,0,1232534129866809,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",26,0,0,1900677478888394,5328266167279521,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",27,0,0,1279593555777223,5318471801324651,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",28,0,0,1294000536876379,5334251697092091,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",29,0,0,1191778001074417,5301094417292034,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",30,0,0,1510625145844260,5334289550335089,0,21893641633435155,8806523783162277,""
572,"8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e",31,0,0,1579996380346956,5334289550335089,0,21893641633435155,8806523783162277,""
